City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,Qaqortoq,60.7167,-46.0333,19.4,53,75,2.3,GL,2021-02-22 06:06:22
200,Cape Town,-33.9258,18.4232,63.0,67,0,3.44,ZA,2021-02-22 06:03:50
201,Curup,-3.4667,102.5333,79.65,77,99,0.22,ID,2021-02-22 06:06:22
202,Russell,32.3502,-85.1999,57.2,67,90,8.05,US,2021-02-22 06:06:22
203,Yar-Sale,66.8333,70.8333,-35.5,81,37,4.76,RU,2021-02-22 06:06:22
204,Beckley,37.7782,-81.1882,32.0,64,1,12.66,US,2021-02-22 06:06:26
205,Santa Cruz De Tenerife,28.4682,-16.2546,60.01,62,0,1.14,ES,2021-02-22 06:05:28
206,Shitkino,56.3703,98.3543,12.38,93,100,3.29,RU,2021-02-22 06:06:27
207,Sioux Lookout,50.1001,-91.917,23.0,93,75,5.75,CA,2021-02-22 06:01:34
208,Mogadishu,2.0371,45.3438,80.22,75,97,18.12,SO,2021-02-22 06:04:56
209,San-Pedro,4.7485,-6.6363,75.07,92,39,4.14,CI,2021-02-22 06:06:27
210,Tocopilla,-22.092,-70.1979,66.25,68,69,4.14,CL,2021-02-22 06:06:27
211,Kodiak,57.79,-152.4072,30.2,80,75,5.75,US,2021-02-22 06:05:51
212,Salta,-24.7859,-65.4117,68.0,88,75,3.44,AR,2021-02-22 06:03:29
213,Arona,28.0996,-16.681,61.0,77,20,8.05,ES,2021-02-22 06:06:28
214,Luanda,-8.8368,13.2343,75.2,94,90,8.05,AO,2021-02-22 06:05:45
215,Tubigan,8.5322,124.3122,82.0,81,3,5.99,PH,2021-02-22 06:06:28
216,Road Town,18.4167,-64.6167,77.0,88,0,8.01,VG,2021-02-22 06:06:31
217,Lebu,-37.6167,-73.65,55.44,93,20,8.68,CL,2021-02-22 06:06:31
218,Santa Vitoria Do Palmar,-33.5189,-53.3681,68.13,92,0,10.29,BR,2021-02-22 06:06:31
219,Mount Gambier,-37.8333,140.7667,66.2,42,40,20.71,AU,2021-02-22 06:06:31
220,Ilo,-17.6394,-71.3375,69.06,75,93,4.38,PE,2021-02-22 06:06:34
221,Nouadhibou,20.931,-17.0347,62.6,77,0,20.71,MR,2021-02-22 06:06:37
222,Ballarpur,19.8333,79.35,92.46,14,0,3.53,IN,2021-02-22 06:06:37
223,Hofn,64.2539,-15.2082,41.31,69,100,3.09,IS,2021-02-22 06:06:38
224,Katsuura,35.1333,140.3,69.8,37,0,18.41,JP,2021-02-22 06:06:41
225,Saint George,37.1041,-113.5841,48.2,23,1,4.5,US,2021-02-22 06:06:44
226,Camacha,33.0833,-16.3333,60.8,88,40,4.61,PT,2021-02-22 06:06:44
227,Nanortalik,60.1432,-45.2371,22.84,94,100,8.28,GL,2021-02-22 06:06:47
228,Kondoa,-4.9,35.7833,65.97,84,100,1.03,TZ,2021-02-22 06:06:47
229,Alyangula,-13.8483,136.4192,84.2,84,90,3.44,AU,2021-02-22 06:06:47
230,Salalah,17.0151,54.0924,80.6,57,20,1.14,OM,2021-02-22 06:06:47
231,Bonfim,3.0833,-59.95,77.81,72,77,11.9,BR,2021-02-22 06:06:47
232,Eyemouth,55.8713,-2.0901,41.0,93,100,9.28,GB,2021-02-22 06:02:54
233,Kuruman,-27.4524,23.4325,68.0,75,98,10.18,ZA,2021-02-22 06:02:37
234,Mayenne,48.3333,-0.6667,50.0,76,0,6.91,FR,2021-02-22 06:06:48
235,Gamba,-2.65,10.0,77.77,84,100,3.74,GA,2021-02-22 06:06:48
236,Bhakkar,31.6253,71.0657,81.68,16,38,2.93,PK,2021-02-22 06:06:48
237,Beloha,-25.1667,45.05,87.33,61,0,7.56,MG,2021-02-22 06:06:48
238,Bambous Virieux,-20.3428,57.7575,78.01,94,75,4.61,MU,2021-02-22 06:06:51
239,Broken Hill,-31.95,141.4333,80.6,29,0,20.71,AU,2021-02-22 06:06:51
240,Ataco,3.5915,-75.3818,72.77,77,92,1.97,CO,2021-02-22 06:06:54
241,Marsala,37.7966,12.4352,55.4,76,0,9.22,IT,2021-02-22 06:06:54
242,Longyearbyen,78.2186,15.6401,23.0,68,40,16.11,SJ,2021-02-22 06:02:03
243,Bambanglipuro,-7.95,110.2833,85.8,67,72,9.95,ID,2021-02-22 06:06:54
244,Christchurch,-43.5333,172.6333,66.2,72,76,13.8,NZ,2021-02-22 06:03:04
245,Newport,51.5877,-2.9984,46.0,92,100,5.06,GB,2021-02-22 06:06:54
246,Ahipara,-35.1667,173.1667,69.64,70,92,11.41,NZ,2021-02-22 06:06:55
247,Nehe,48.4833,124.8333,7.95,85,17,12.1,CN,2021-02-22 06:06:58
248,Mineros,-17.1167,-63.2333,75.2,100,65,2.86,BO,2021-02-22 06:06:58
249,Guanica,17.9716,-66.908,71.01,74,0,1.01,PR,2021-02-22 06:06:58
250,Whitehorse,60.7161,-135.0538,-2.0,84,75,5.75,CA,2021-02-22 06:06:59
251,Lolodorf,3.2333,10.7333,70.74,94,87,1.61,CM,2021-02-22 06:06:59
252,Tigil,57.8,158.6667,10.17,95,79,6.31,RU,2021-02-22 06:06:59
253,Dikson,73.5069,80.5464,0.84,94,100,5.19,RU,2021-02-22 06:06:59
254,Chato,-2.6378,31.7669,69.19,76,100,5.86,TZ,2021-02-22 06:06:59
255,Terrasini,38.146,13.0844,51.8,71,0,3.44,IT,2021-02-22 06:06:59
256,Thompson,55.7435,-97.8558,26.6,93,90,3.44,CA,2021-02-22 06:05:56
257,Marsh Harbour,26.5412,-77.0636,68.9,77,86,21.72,BS,2021-02-22 06:06:21
258,Emerald,-23.5333,148.1667,105.8,15,40,6.91,AU,2021-02-22 06:07:00
259,Chapada Dos Guimaraes,-15.4606,-55.7497,80.6,74,40,11.5,BR,2021-02-22 06:07:00
260,Sinnamary,5.3833,-52.95,76.35,85,94,14.58,GF,2021-02-22 06:07:00
261,Elko,41.0002,-115.5012,28.0,76,5,8.01,US,2021-02-22 06:07:04
262,Tanout,14.9709,8.8879,58.96,30,0,11.77,NE,2021-02-22 06:07:04
263,Bondowoso,-7.9135,113.8214,83.98,67,90,5.59,ID,2021-02-22 06:07:07
264,Broome,42.2506,-75.833,24.01,58,90,8.05,US,2021-02-22 06:07:07
265,Brae,60.3964,-1.353,44.6,87,35,12.66,GB,2021-02-22 06:07:07
266,Itarema,-2.9248,-39.9167,79.25,82,81,12.86,BR,2021-02-22 06:07:10
267,Sao Felix Do Xingu,-6.6447,-51.995,71.83,96,100,0.51,BR,2021-02-22 06:03:38
268,Itoman,26.1247,127.6694,77.0,56,75,9.22,JP,2021-02-22 06:07:13
269,Iset,56.9779,60.3718,-7.6,77,40,2.24,RU,2021-02-22 06:07:14
270,Belyy Yar,53.6039,91.3903,17.6,79,75,2.24,RU,2021-02-22 06:07:14
271,Adrar,20.5022,-10.0711,61.43,32,0,10.76,MR,2021-02-22 06:07:14
272,Ballina,-28.8667,153.5667,86.0,65,0,11.5,AU,2021-02-22 06:07:14
273,Abha,18.2164,42.5053,59.0,77,40,11.5,SA,2021-02-22 06:07:14
274,Maniitsoq,65.4167,-52.9,20.93,87,12,7.81,GL,2021-02-22 06:07:17
275,Umea,63.8284,20.2597,14.0,92,90,5.75,SE,2021-02-22 06:07:20
276,Iqaluit,63.7506,-68.5145,-11.2,70,90,3.44,CA,2021-02-22 06:07:21
277,Kurchum,48.5722,83.6542,11.28,93,76,1.7,KZ,2021-02-22 06:07:21
278,Tiksi,71.6872,128.8694,-26.01,85,35,5.35,RU,2021-02-22 06:07:21
279,Las Vegas,36.175,-115.1372,50.0,22,1,5.23,US,2021-02-22 06:07:07
280,Talavera De La Reina,39.9635,-4.8308,37.92,89,94,11.48,ES,2021-02-22 06:07:21
281,Waipawa,-41.4122,175.5153,71.6,64,76,19.57,NZ,2021-02-22 06:07:24
282,Petropavlovsk-Kamchatskiy,53.0452,158.6483,35.6,44,62,11.18,RU,2021-02-22 06:03:13
283,Georgiyevka,43.0369,74.7114,37.4,93,90,4.47,KZ,2021-02-22 06:07:24
284,Manaure,11.7751,-72.4445,75.74,78,26,9.46,CO,2021-02-22 06:07:24
285,Khanewal,30.3,71.9333,75.2,35,14,6.91,PK,2021-02-22 06:03:31
286,Azagra,9.4779,123.1367,86.0,70,40,6.91,PH,2021-02-22 06:07:24
287,Kungurtug,50.5994,97.5228,19.78,84,98,1.41,RU,2021-02-22 06:07:24
288,Latung,5.5,120.8833,81.01,82,72,15.93,PH,2021-02-22 06:07:27
289,Riyadh,24.6877,46.7219,59.0,55,40,3.44,SA,2021-02-22 06:07:31
290,Oshikango,-17.4,15.8833,68.31,69,99,4.79,NA,2021-02-22 06:07:31
291,Tuatapere,-46.1333,167.6833,66.99,61,100,4.0,NZ,2021-02-22 06:07:34
292,Mayo,38.8876,-76.5119,35.01,69,75,11.5,US,2021-02-22 06:07:34
